I_real,I_imag,V_real,V_imag
506.11955642910885,192.0672404237694,4.25323,0
511.25430392219846,188.82226246401225,4.22191,0
521.6173604420707,188.0810713108764,4.19352,0
524.5293050753274,197.47027137823582,4.25197,0
523.8224865877163,196.36033824085192,4.24572,0
541.3683480287137,199.78473137019645,4.2494,0
562.4506766390905,202.436657580166,4.25056,0
565.1463823667259,202.8688579422738,4.26268,0
577.0148686855664,204.871859833845,4.25692,0
582.1386527112687,206.31670543974104,4.25721,0
574.4079561186105,205.5437319006359,4.26568,0
586.4987170672412,208.67242295876113,4.26157,0
581.129443782189,207.75632859049944,4.27515,0
576.4375158819946,205.98015496594616,4.26649,0
565.8912654831441,207.24788914217132,4.27196,0
559.1886244884397,203.75273164236796,4.26115,0
549.562496410854,204.07517104897926,4.27161,0
550.388989946876,202.64732873950663,4.25937,0
531.4387400115853,199.68271542599447,4.27311,0
517.7693791947246,195.7132814714154,4.26848,0
497.30143943900265,188.50013240286057,4.26528,0
471.72035354713285,175.64795578192195,4.26705,0
470.9682838276059,173.93423822950922,4.25814,0
468.35993673998814,174.91418350984102,4.2643,0
466.5008830367442,172.8790216941833,4.26114,0
459.8783474618169,170.13006923171585,4.25381,0
450.44741994101054,177.913737436115,4.25234,0
456.3628955485214,174.82987328133984,4.24856,0
455.87477056626403,173.70064270795353,4.24542,0
474.38033615072993,174.551632185209,4.24592,0
473.6470297461961,174.4102630483827,4.2547,0
479.23478021680626,176.115789955215,4.25524,0
485.6634122955288,179.23066801600427,4.26168,0
489.4969415073445,178.536903342013,4.26133,0
543.791247963003,200.53839218174622,4.25226,0
548.3329306862332,203.33287950070064,4.26455,0
523.2894194732578,195.48226407360053,4.25857,0
542.7508702492822,201.05717415612602,4.25643,0
558.4271147290901,204.78156952309865,4.25611,0
555.2494186336457,205.71433720331294,4.26372,0
531.619778665579,200.9406044470871,4.27104,0
510.69162677860606,195.2876836547069,4.26762,0
500.9580305333497,193.13618988979638,4.2663,0
488.5464505009035,189.52947577347499,4.26283,0
486.11798564866615,189.3541049301104,4.25954,0
480.69211351894455,187.13579977302592,4.25056,0
482.23743637681497,188.41361840566987,4.25114,0
479.3482063743464,188.05534806193907,4.25697,0
475.57575170524206,185.3820090785347,4.24967,0
468.8816052200734,184.71784513480875,4.25386,0
471.8439346140363,183.75466364679036,4.24961,0
476.5499625964583,185.80413405065616,4.24954,0
482.16056566692225,186.3198040460368,4.24288,0
477.13659387732696,179.13372046642348,4.24004,0
461.23393390536165,171.21467922810976,4.24585,0
465.8681335447052,171.71512221284627,4.2469,0
469.84765512186925,173.2332754769736,4.25392,0
471.29128232359614,175.16079962931312,4.26708,0
472.80586806307963,174.2722838724441,4.26145,0
474.28198189666193,175.67848239660566,4.26771,0
467.78382451456173,172.4048037948181,4.26128,0
464.4165771326338,172.03702779753087,4.25764,0
461.09750391670605,170.55253009786537,4.25156,0
469.97732217257027,173.64151428877847,4.25444,0
480.19969831416296,177.2111474032796,4.25773,0
482.1143960905931,176.7011931431215,4.25769,0
484.60515977291465,172.32009947324167,4.22278,0
477.15670897128683,170.6430912392607,4.22843,0
468.882905241049,172.22386395826055,4.24747,0
461.4609394281088,171.4766166657346,4.24637,0
465.7279448484502,172.72579559301195,4.24902,0
460.24851015643554,169.9159893676328,4.23819,0
460.7296496044379,170.35076686464282,4.24286,0
461.31739524326764,168.66821001886163,4.2359,0
460.610306365792,169.31863658384222,4.23295,0
469.3337380271413,171.64763767226955,4.24143,0
470.9120120944525,172.57532358119528,4.23995,0
489.70006688063415,174.46749467480316,4.24333,0
508.02364671503676,177.6223149785957,4.25036,0
517.4306280017312,179.62442620571963,4.25558,0
519.8813846504471,178.70426558404782,4.25559,0
522.658395470217,180.71278307994243,4.26494,0
519.9932875701671,180.63999407099595,4.26956,0
515.4151672299599,179.07854061922797,4.26468,0
518.0410144430161,178.5358188259451,4.25264,0
522.8517914131485,180.28749279986522,4.25126,0
514.8121013934125,180.63282919474753,4.26008,0
505.086501216557,182.0693172635547,4.27215,0
492.7833765737753,178.2587359108909,4.26579,0
490.04698439355775,177.66219533367308,4.26286,0
483.638200059072,174.7185861424624,4.25974,0
475.2829446726091,172.43093263197758,4.25442,0
468.26933128438264,172.76458696005128,4.25877,0
461.8274372212616,171.53819564645545,4.24935,0
463.76708597304435,171.59948713230736,4.24967,0
465.21342776229125,171.7360667700859,4.24793,0
461.86283978751345,170.88745885059464,4.25326,0
461.456304186076,170.4298015486954,4.24831,0
463.1117957923073,169.31386553387827,4.23615,0
467.0009631732591,175.65368667992223,4.24419,0
466.06196126583944,174.65246406804332,4.24277,0
484.6915081264218,178.52213162276217,4.24831,0
511.8242144345643,179.259422018596,4.25327,0
531.851925586562,183.17554256468335,4.25439,0
565.4124449220205,197.7194864531645,4.26125,0
596.7810679008707,211.47974307506743,4.2649,0
